city,country,period,subject,count
SYNTH_CITY_ALPHA,Exampleland,2020-2022,COMP,10
SYNTH_CITY_ALPHA,Exampleland,2020-2022,MEDI,0
SYNTH_CITY_BETA,Samplestan,2020-2022,COMP,5
SYNTH_CITY_BETA,Samplestan,2020-2022,MEDI,5
SYNTH_CITY_ZERO,Nowheria,2020-2022,COMP,0
SYNTH_CITY_ZERO,Nowheria,2020-2022,MEDI,0
Springfield,Exampleland,2020-2022,COMP,3
Springfield,Samplestan,2020-2022,COMP,1
SYNTH_CITY_ALPHA,Exampleland,2023-2024,COMP,8
SYNTH_CITY_ALPHA,Exampleland,2023-2024,MEDI,2
SYNTH_CITY_BETA,Samplestan,2023-2024,COMP,1
SYNTH_CITY_BETA,Samplestan,2023-2024,MEDI,9
