record_id,author_id,work_id,institution_id,author_position,source,match_status,confidence_score
R001,Author_A001,Work_W001,Inst_I001,first,SyntheticSourceA,matched,0.98
R002,,Work_W002,Inst_I002,middle,SyntheticSourceA,matched,0.92
R003,Author_A003,,Inst_I003,last,SyntheticSourceA,matched,0.90
R004,Author_A004,Work_W003,,first,SyntheticSourceA,missing_institution,0.00
R005,Author_A005,Work_W999,Inst_I001,first,SyntheticSourceA,matched,0.89
R006,Author_A006,Work_W004,Inst_I999,last,SyntheticSourceA,matched,0.88
R007,Author_A007,Work_W005,Inst_I005,first,SyntheticSourceB,matched,0.86
R008,Author_A008,Work_W006,Inst_I006,first,SyntheticSourceB,matched,0.86
R009,Author_A009,Work_W007,Inst_I007,first,SyntheticSourceB,matched,0.86
R010,Author_A010,Work_W008,Inst_I001,middle,SyntheticSourceA,matched,0.50
R011,Author_A011,Work_W009,Inst_I002,first,SyntheticSourceA,matched,0.95
R012,Author_A011,Work_W009,Inst_I002,first,SyntheticSourceA,matched,0.95
R013,Author_A012,Work_W010,Inst_I001,first,SyntheticSourceA,matched,0.94
R014,Author_A012,Work_W010,Inst_I002,first,SyntheticSourceA,matched,0.94
R015,Author_A013,Work_W011,Inst_I008,last,SyntheticSourceA,matched,0.93
R016,Author_A014,Work_W012,Inst_I009,last,SyntheticSourceA,matched,0.93
R017,Author_A015,Work_W013,Inst_I003,middle,SyntheticSourceA,matched,0.91
R018,Author_A016,Work_W014,Inst_I004,middle,SyntheticSourceA,matched,0.91
